top_1 정확도 280|1358 - 20.618556701030926%
rate 정확도 406|1358 - 29.896907216494846%

top_1 정확도 313|1358 - 23.04860088365243%
top_5 정확도 636|1358 - 46.833578792341676%
rate 정확도 435|1358 - 32.03240058910162%

top_1 정확도 335|1358 - 24.668630338733433%
top_5 정확도 664|1358 - 48.89543446244477%
rate 정확도 455|1358 - 33.50515463917525%
over10 정확도 636|1358 - 46.833578792341676%

top_1 정확도 292|1358 - 21.502209131075112%
top_5 정확도 616|1358 - 45.36082474226804%
rate 정확도 416|1358 - 30.633284241531666%
over10 정확도 610|1358 - 44.918998527245954%

top_1 정확도 335|1358 - 24.668630338733433%
top_5 정확도 664|1358 - 48.89543446244477%
rate 정확도 455|1358 - 33.50515463917525%
over10 정확도 636|1358 - 46.833578792341676%

평균 코사인 유사도: 0.8154
